,reviewID,cust_travel_type,travel_custer_no,custCountry,countryRegion,star_rating,comment,Concept_bed,Concept_easy,Concept_bad,Concept_small,Concept_place,Concept_easy to access,Concept_expensive,Concept_wifi,Concept_like,Concept_night,Concept_helpful,Concept_pool,Concept_problem,Concept_singapore,Concept_comfortable,Concept_old,Concept_friendly,Concept_pleasant,Concept_would recommend,Concept_satisfied,Concept_hotel,Concept_quiet,Concept_service,Concept_location,Concept_excellent,Concept_large,Concept_check in,Concept_good,Concept_convenient,Concept_clean,Concept_price,Concept_time,Concept_relaxing,Concept_restaurants,Concept_stay,Concept_breakfast,Concept_room,Concept_fast,Concept_food,Concept_staff,Concept_family,Concept_bath room,Concept_shopping,Concept_experience,Concept_free,Concept_mrt,Concept_better,Concept_roomy,Concept_nearby,Concept_swimming pool
9,3293,Couples,1.0,Malaysia,South East Asia,7.0,Is great with the facility and its near to MRT station. Which it just opposite the hotel.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,1191,Business Travelers,2.0,Switzerland,Europe,7.0,As expected - no problems at all - everything worked fine.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2551,Solo travelers,6.0,Australia,Oceania,6.0,not really memorable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4789,Business Travelers,2.0,Thailand,South East Asia,10.0,It's a perfect Haloween Night in Singapore. I and 2 freinds went for business trip and have chance to stay in Haloween night. Such an impressive night.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,773,Business Travelers,2.0,United Kingdom,Europe,9.0,"last minute booking for V hotel , affordable price with central location. Taxi fare from airport to hotel in non peak hour just $18 . It is relatively value for money . Across the street, there is a food center in the public housing, the price is cheaper than the 24hour food court downstairs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,4427,Families with Young Children,4.0,Malaysia,South East Asia,7.3,"prefer to have hand shower especially for young children and bath tub would be even greater. air conditional unable to control, prefer to have fan too for children cannot take air cond",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2302,Couples,1.0,Singapore,South East Asia,6.0,"As we decided to extend one more night of our stay cation, to do our work related and project planning, i got more annoyed by the little things i did not nit pick in the past. The ""dining"" area which i have described in my point of view, no offense to the designer, i was shocked by the routine of the food, sushi was standard, as explained poorly by the staff there, soup in the morning was cooked, finished no more, i was taken back even more when he went to check in which one could clearly see was an empty soup cooker and once again replied no more. The food of even salads made me wonder if it was leftovers from the previous day so was the pies and pizzas. Alas, i would still recommend BIG to tourists or the locals for a one time experience, but not for a hotel that we would be going back to for awhile.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
90,4207,Families with Older Children,3.0,Indonesia,South East Asia,10.0,"Very nice, fun and enjoy. I often to Singapore with family and We are going to come back soon. Near to public transportation, shopping and mall and food center. Nice, friendly staff and fast check in and check out.",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
117,5449,Families with Young Children,4.0,Singapore,South East Asia,9.7,"Apart from the cockroach issue, which was later resolved swiftly by the complimentary upgrade, everything else was fine.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1800,Business Travelers,2.0,Australia,Oceania,8.3,"great value for money, location, new decor. Top choice of my great value for money hotel in Singapore!!!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,183,Families with Older Children,3.0,United States of America,North America,9.0,Our family stayed in a club room for three nights. The two beds in the room fit three of us confortably. You can walk into Bugis mall from one of hotel doors. There are so many restaurants in the mall as well as on the streets. The hotel decor is based on an old shopping-story setting.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
144,4582,Couples,1.0,Malaysia,South East Asia,9.3,"Strongly satisfy and highly recommended. the room is large, bath room is large and well equipped. the bed is large and comfortable. Cleanliness is well done. The room design is beautiful.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
153,2740,Solo travelers,6.0,Hong Kong,East Asia,4.3,The experience is bad considering the price we paid. The room is partially renovated with wallpaper coming off. The toilet is small with 80's decoration. A big sink in a relatively small toilet space.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
162,1025,Couples,1.0,Hong Kong,East Asia,7.7,"Not as grand as a 5-star hotel but given its location it's alright. Lobby is on 4/F which you need to get up from 1/F, a small floor with no facilities except a lounge with dirty sofas. However all staffs are nice. The lights are relatively dim inside the room even all on. Room service was fast.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
171,2767,Business Travelers,2.0,Norway,Europe,7.3,"The stay was good, but the hotel is not anymore a 5 star hotel. Needs renovation/upgrade to deserve the five star",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3083,Couples,1.0,Australia,Oceania,9.7,As a past guest of the Goodwood Park we decided to return for a special family celebration. It didn't let us down...just as lovely as ever.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
198,2469,Families with Young Children,4.0,Malaysia,South East Asia,6.3,"Disappointed, swimming pool was small, club floor cocktail food was just normal. breakfast café is always crowded with so many people & very crimpy.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
207,4970,Solo travelers,6.0,Hong Kong,East Asia,7.3,"the bed is large but the mrt is a bit far. clean. staff attidue fair. good for shopping as it's located at the most famous shopping distrcit - orchid. however, the hotel is at the end of the district so you get prepared to walk a bit.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
216,3526,Business Travelers,2.0,Malaysia,South East Asia,6.0,"This hotel is located a bit far from the city center, many restaurant around but not so convenience to the shopping area. near MRT station abount 10 mins walk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,3091,Couples,1.0,Australia,Oceania,8.7,This is an older hotel with a classic feel. A terrific location...close to Orchard road and an easy walk to the MRT.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
234,2679,Families with Older Children,3.0,Indonesia,South East Asia,9.7,Highly recommend this hotel for business or vacation purposes. Grand Park offers a very good service & comfortable athmosphere. A very well managed hotel. Would love to come back in the future.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2827,Solo travelers,6.0,India,South Asia,8.3,Pleasant and comfortable. Close to Orchard road and clarke quay.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
